experiment	description
# single nuc
ENCSR724KET	Homo sapiens adrenal gland tissue nuclear fraction female child (16 years)
ENCSR620AJZ	Homo sapiens adrenal gland tissue nuclear fraction female adult (41 years)
#ENCSR362YDM	Homo sapiens adrenal gland tissue nuclear fraction male adult (26 years)
#ENCSR726IPC	Homo sapiens adrenal gland tissue nuclear fraction female adult (59 years)
# bulk
ENCSR201XOZ	Homo sapiens adrenal gland tissue female child (16 years)
ENCSR763OMY	Homo sapiens adrenal gland tissue female adult (41 years)
#ENCSR003BTD	Homo sapiens adrenal gland tissue female adult (47 years)
